Mes,Tarifa,Segmento,Unidades,Concepto,Division,Int. Horario,Cargos tarifarios
enero 2020,DB1,CENACE,$/kWh,Energia,Baja California,NA,0.0080
enero 2020,DB2,CENACE,$/kWh,Energia,Baja California,NA,0.0080
enero 2020,PDBT,CENACE,$/kWh,Energia,Baja California,NA,0.0080
enero 2020,GDBT,CENACE,$/kWh,Energia,Baja California,NA,0.0080
enero 2020,RABT,CENACE,$/kWh,Energia,Baja California,NA,0.0080
enero 2020,APBT,CENACE,$/kWh,Energia,Baja California,NA,0.0080
enero 2020,APMT,CENACE,$/kWh,Energia,Baja California,NA,0.0080
enero 2020,GDMTH,CENACE,$/kWh,Energia,Baja California,NA,0.0080
enero 2020,GDMTO,CENACE,$/kWh,Energia,Baja California,NA,0.0080
enero 2020,RAMT,CENACE,$/kWh,Energia,Baja California,NA,0.0080
enero 2020,DIST,CENACE,$/kWh,Energia,Baja California,NA,0.0080
enero 2020,DIT,CENACE,$/kWh,Energia,Baja California,NA,0.0080
enero 2020,DB1,CENACE,$/kWh,Energia,Baja California Sur,NA,0.0080
enero 2020,DB2,CENACE,$/kWh,Energia,Baja California Sur,NA,0.0080
enero 2020,PDBT,CENACE,$/kWh,Energia,Baja California Sur,NA,0.0080
enero 2020,GDBT,CENACE,$/kWh,Energia,Baja California Sur,NA,0.0080
enero 2020,RABT,CENACE,$/kWh,Energia,Baja California Sur,NA,0.0080
enero 2020,APBT,CENACE,$/kWh,Energia,Baja California Sur,NA,0.0080
enero 2020,APMT,CENACE,$/kWh,Energia,Baja California Sur,NA,0.0080
enero 2020,GDMTH,CENACE,$/kWh,Energia,Baja California Sur,NA,0.0080
enero 2020,GDMTO,CENACE,$/kWh,Energia,Baja California Sur,NA,0.0080
enero 2020,RAMT,CENACE,$/kWh,Energia,Baja California Sur,NA,0.0080
enero 2020,DIST,CENACE,$/kWh,Energia,Baja California Sur,NA,0.0080
enero 2020,DIT,CENACE,$/kWh,Energia,Baja California Sur,NA,0.0080
enero 2020,DB1,CENACE,$/kWh,Energia,Bajio,NA,0.0080
enero 2020,DB2,CENACE,$/kWh,Energia,Bajio,NA,0.0080
enero 2020,PDBT,CENACE,$/kWh,Energia,Bajio,NA,0.0080
enero 2020,GDBT,CENACE,$/kWh,Energia,Bajio,NA,0.0080
enero 2020,RABT,CENACE,$/kWh,Energia,Bajio,NA,0.0080
enero 2020,APBT,CENACE,$/kWh,Energia,Bajio,NA,0.0080
enero 2020,APMT,CENACE,$/kWh,Energia,Bajio,NA,0.0080
enero 2020,GDMTH,CENACE,$/kWh,Energia,Bajio,NA,0.0080
enero 2020,GDMTO,CENACE,$/kWh,Energia,Bajio,NA,0.0080
enero 2020,RAMT,CENACE,$/kWh,Energia,Bajio,NA,0.0080
enero 2020,DIST,CENACE,$/kWh,Energia,Bajio,NA,0.0080
enero 2020,DIT,CENACE,$/kWh,Energia,Bajio,NA,0.0080
enero 2020,DB1,CENACE,$/kWh,Energia,Centro Occidente,NA,0.0080
enero 2020,DB2,CENACE,$/kWh,Energia,Centro Occidente,NA,0.0080
enero 2020,PDBT,CENACE,$/kWh,Energia,Centro Occidente,NA,0.0080
enero 2020,GDBT,CENACE,$/kWh,Energia,Centro Occidente,NA,0.0080
enero 2020,RABT,CENACE,$/kWh,Energia,Centro Occidente,NA,0.0080
enero 2020,APBT,CENACE,$/kWh,Energia,Centro Occidente,NA,0.0080
enero 2020,APMT,CENACE,$/kWh,Energia,Centro Occidente,NA,0.0080
enero 2020,GDMTH,CENACE,$/kWh,Energia,Centro Occidente,NA,0.0080
enero 2020,GDMTO,CENACE,$/kWh,Energia,Centro Occidente,NA,0.0080
enero 2020,RAMT,CENACE,$/kWh,Energia,Centro Occidente,NA,0.0080
enero 2020,DIST,CENACE,$/kWh,Energia,Centro Occidente,NA,0.0080
enero 2020,DIT,CENACE,$/kWh,Energia,Centro Occidente,NA,0.0080
enero 2020,DB1,CENACE,$/kWh,Energia,Centro Oriente,NA,0.0080
enero 2020,DB2,CENACE,$/kWh,Energia,Centro Oriente,NA,0.0080
enero 2020,PDBT,CENACE,$/kWh,Energia,Centro Oriente,NA,0.0080
enero 2020,GDBT,CENACE,$/kWh,Energia,Centro Oriente,NA,0.0080
enero 2020,RABT,CENACE,$/kWh,Energia,Centro Oriente,NA,0.0080
enero 2020,APBT,CENACE,$/kWh,Energia,Centro Oriente,NA,0.0080
enero 2020,APMT,CENACE,$/kWh,Energia,Centro Oriente,NA,0.0080
enero 2020,GDMTH,CENACE,$/kWh,Energia,Centro Oriente,NA,0.0080
enero 2020,GDMTO,CENACE,$/kWh,Energia,Centro Oriente,NA,0.0080
enero 2020,RAMT,CENACE,$/kWh,Energia,Centro Oriente,NA,0.0080
enero 2020,DIST,CENACE,$/kWh,Energia,Centro Oriente,NA,0.0080
enero 2020,DIT,CENACE,$/kWh,Energia,Centro Oriente,NA,0.0080
enero 2020,DB1,CENACE,$/kWh,Energia,Centro Sur,NA,0.0080
enero 2020,DB2,CENACE,$/kWh,Energia,Centro Sur,NA,0.0080
enero 2020,PDBT,CENACE,$/kWh,Energia,Centro Sur,NA,0.0080
enero 2020,GDBT,CENACE,$/kWh,Energia,Centro Sur,NA,0.0080
enero 2020,RABT,CENACE,$/kWh,Energia,Centro Sur,NA,0.0080
enero 2020,APBT,CENACE,$/kWh,Energia,Centro Sur,NA,0.0080
enero 2020,APMT,CENACE,$/kWh,Energia,Centro Sur,NA,0.0080
enero 2020,GDMTH,CENACE,$/kWh,Energia,Centro Sur,NA,0.0080
enero 2020,GDMTO,CENACE,$/kWh,Energia,Centro Sur,NA,0.0080
enero 2020,RAMT,CENACE,$/kWh,Energia,Centro Sur,NA,0.0080
enero 2020,DIST,CENACE,$/kWh,Energia,Centro Sur,NA,0.0080
enero 2020,DIT,CENACE,$/kWh,Energia,Centro Sur,NA,0.0080
enero 2020,DB1,CENACE,$/kWh,Energia,Golfo Centro,NA,0.0080
enero 2020,DB2,CENACE,$/kWh,Energia,Golfo Centro,NA,0.0080
enero 2020,PDBT,CENACE,$/kWh,Energia,Golfo Centro,NA,0.0080
enero 2020,GDBT,CENACE,$/kWh,Energia,Golfo Centro,NA,0.0080
enero 2020,RABT,CENACE,$/kWh,Energia,Golfo Centro,NA,0.0080
enero 2020,APBT,CENACE,$/kWh,Energia,Golfo Centro,NA,0.0080
enero 2020,APMT,CENACE,$/kWh,Energia,Golfo Centro,NA,0.0080
enero 2020,GDMTH,CENACE,$/kWh,Energia,Golfo Centro,NA,0.0080
enero 2020,GDMTO,CENACE,$/kWh,Energia,Golfo Centro,NA,0.0080
enero 2020,RAMT,CENACE,$/kWh,Energia,Golfo Centro,NA,0.0080
enero 2020,DIST,CENACE,$/kWh,Energia,Golfo Centro,NA,0.0080
enero 2020,DIT,CENACE,$/kWh,Energia,Golfo Centro,NA,0.0080
enero 2020,DB1,CENACE,$/kWh,Energia,Golfo Norte,NA,0.0080
enero 2020,DB2,CENACE,$/kWh,Energia,Golfo Norte,NA,0.0080
enero 2020,PDBT,CENACE,$/kWh,Energia,Golfo Norte,NA,0.0080
enero 2020,GDBT,CENACE,$/kWh,Energia,Golfo Norte,NA,0.0080
enero 2020,RABT,CENACE,$/kWh,Energia,Golfo Norte,NA,0.0080
enero 2020,APBT,CENACE,$/kWh,Energia,Golfo Norte,NA,0.0080
enero 2020,APMT,CENACE,$/kWh,Energia,Golfo Norte,NA,0.0080
enero 2020,GDMTH,CENACE,$/kWh,Energia,Golfo Norte,NA,0.0080
enero 2020,GDMTO,CENACE,$/kWh,Energia,Golfo Norte,NA,0.0080
enero 2020,RAMT,CENACE,$/kWh,Energia,Golfo Norte,NA,0.0080
enero 2020,DIST,CENACE,$/kWh,Energia,Golfo Norte,NA,0.0080
enero 2020,DIT,CENACE,$/kWh,Energia,Golfo Norte,NA,0.0080
enero 2020,DB1,CENACE,$/kWh,Energia,Jalisco,NA,0.0080
enero 2020,DB2,CENACE,$/kWh,Energia,Jalisco,NA,0.0080
enero 2020,PDBT,CENACE,$/kWh,Energia,Jalisco,NA,0.0080
enero 2020,GDBT,CENACE,$/kWh,Energia,Jalisco,NA,0.0080
enero 2020,RABT,CENACE,$/kWh,Energia,Jalisco,NA,0.0080
