Mes,Tarifa,Segmento,Unidades,Concepto,Division,Int. Horario,Cargos Tarifarios,
enero 2019,GDMTH,CENACE,$/kWh,Energia,Baja California,NA,0.0078,
enero 2019,DIST,CENACE,$/kWh,Energia,Baja California,NA,0.0078,
enero 2019,DIT,CENACE,$/kWh,Energia,Baja California,NA,0.0078,
enero 2019,GDMTH,CENACE,$/kWh,Energia,Baja California Sur,NA,0.0078,
enero 2019,DIST,CENACE,$/kWh,Energia,Baja California Sur,NA,0.0078,
enero 2019,DIT,CENACE,$/kWh,Energia,Baja California Sur,NA,0.0078,
enero 2019,GDMTH,CENACE,$/kWh,Energia,Bajio,NA,0.0078,
enero 2019,DIST,CENACE,$/kWh,Energia,Bajio,NA,0.0078,
enero 2019,DIT,CENACE,$/kWh,Energia,Bajio,NA,0.0078,
enero 2019,GDMTH,CENACE,$/kWh,Energia,Centro Occidente,NA,0.0078,
enero 2019,DIST,CENACE,$/kWh,Energia,Centro Occidente,NA,0.0078,
enero 2019,DIT,CENACE,$/kWh,Energia,Centro Occidente,NA,0.0078,
enero 2019,GDMTH,CENACE,$/kWh,Energia,Centro Oriente,NA,0.0078,
enero 2019,DIST,CENACE,$/kWh,Energia,Centro Oriente,NA,0.0078,
enero 2019,DIT,CENACE,$/kWh,Energia,Centro Oriente,NA,0.0078,
enero 2019,GDMTH,CENACE,$/kWh,Energia,Centro Sur,NA,0.0078,
enero 2019,DIST,CENACE,$/kWh,Energia,Centro Sur,NA,0.0078,
enero 2019,DIT,CENACE,$/kWh,Energia,Centro Sur,NA,0.0078,
enero 2019,GDMTH,CENACE,$/kWh,Energia,Golfo Centro,NA,0.0078,
enero 2019,DIST,CENACE,$/kWh,Energia,Golfo Centro,NA,0.0078,
enero 2019,DIT,CENACE,$/kWh,Energia,Golfo Centro,NA,0.0078,
enero 2019,GDMTH,CENACE,$/kWh,Energia,Golfo Norte,NA,0.0078,
enero 2019,DIST,CENACE,$/kWh,Energia,Golfo Norte,NA,0.0078,
enero 2019,DIT,CENACE,$/kWh,Energia,Golfo Norte,NA,0.0078,
enero 2019,GDMTH,CENACE,$/kWh,Energia,Jalisco,NA,0.0078,
enero 2019,DIST,CENACE,$/kWh,Energia,Jalisco,NA,0.0078,
enero 2019,DIT,CENACE,$/kWh,Energia,Jalisco,NA,0.0078,
enero 2019,GDMTH,CENACE,$/kWh,Energia,Noroeste,NA,0.0078,
enero 2019,DIST,CENACE,$/kWh,Energia,Noroeste,NA,0.0078,
enero 2019,DIT,CENACE,$/kWh,Energia,Noroeste,NA,0.0078,
enero 2019,GDMTH,CENACE,$/kWh,Energia,Norte,NA,0.0078,
enero 2019,DIST,CENACE,$/kWh,Energia,Norte,NA,0.0078,
enero 2019,DIT,CENACE,$/kWh,Energia,Norte,NA,0.0078,
enero 2019,GDMTH,CENACE,$/kWh,Energia,Oriente,NA,0.0078,
enero 2019,DIST,CENACE,$/kWh,Energia,Oriente,NA,0.0078,
enero 2019,DIT,CENACE,$/kWh,Energia,Oriente,NA,0.0078,
enero 2019,GDMTH,CENACE,$/kWh,Energia,Peninsular,NA,0.0078,
enero 2019,DIST,CENACE,$/kWh,Energia,Peninsular,NA,0.0078,
enero 2019,DIT,CENACE,$/kWh,Energia,Peninsular,NA,0.0078,
enero 2019,GDMTH,CENACE,$/kWh,Energia,Sureste,NA,0.0078,
enero 2019,DIST,CENACE,$/kWh,Energia,Sureste,NA,0.0078,
enero 2019,DIT,CENACE,$/kWh,Energia,Sureste,NA,0.0078,
enero 2019,GDMTH,CENACE,$/kWh,Energia,Valle de Mexico Centro,NA,0.0078,
enero 2019,DIST,CENACE,$/kWh,Energia,Valle de Mexico Centro,NA,0.0078,
enero 2019,DIT,CENACE,$/kWh,Energia,Valle de Mexico Centro,NA,0.0078,
enero 2019,GDMTH,CENACE,$/kWh,Energia,Valle de Mexico Norte,NA,0.0078,
enero 2019,DIST,CENACE,$/kWh,Energia,Valle de Mexico Norte,NA,0.0078,
enero 2019,DIT,CENACE,$/kWh,Energia,Valle de Mexico Norte,NA,0.0078,
enero 2019,GDMTH,CENACE,$/kWh,Energia,Valle de Mexico Sur,NA,0.0078,
enero 2019,DIST,CENACE,$/kWh,Energia,Valle de Mexico Sur,NA,0.0078,
enero 2019,DIT,CENACE,$/kWh,Energia,Valle de Mexico Sur,NA,0.0078,
enero 2019,GDMTH,Generacion,$/kWh,Energia,Baja California,B,0.3666,
enero 2019,GDMTH,Generacion,$/kWh,Energia,Baja California,I,0.6638,
enero 2019,GDMTH,Generacion,$/kWh,Energia,Baja California,P,0.9558,
enero 2019,DIST,Generacion,$/kWh,Energia,Baja California,B,0.4006,
enero 2019,DIST,Generacion,$/kWh,Energia,Baja California,I,0.7253,
enero 2019,DIST,Generacion,$/kWh,Energia,Baja California,P,1.0455,
enero 2019,DIST,Generacion,$/kWh,Energia,Baja California,SP,0.9814,
enero 2019,DIT,Generacion,$/kWh,Energia,Baja California,B,0.4631,
enero 2019,DIT,Generacion,$/kWh,Energia,Baja California,I,0.8385,
enero 2019,DIT,Generacion,$/kWh,Energia,Baja California,P,1.2047,
enero 2019,DIT,Generacion,$/kWh,Energia,Baja California,SP,1.1315,
enero 2019,GDMTH,Generacion,$/kWh,Energia,Baja California Sur,B,1.6694,
enero 2019,GDMTH,Generacion,$/kWh,Energia,Baja California Sur,I,2.1657,
enero 2019,GDMTH,Generacion,$/kWh,Energia,Baja California Sur,P,3.1182,
enero 2019,DIST,Generacion,$/kWh,Energia,Baja California Sur,B,1.8202,
enero 2019,DIST,Generacion,$/kWh,Energia,Baja California Sur,I,2.3613,
enero 2019,DIST,Generacion,$/kWh,Energia,Baja California Sur,P,3.4036,
enero 2019,DIST,Generacion,$/kWh,Energia,Baja California Sur,SP,0,
enero 2019,DIT,Generacion,$/kWh,Energia,Baja California Sur,B,2.1297,
enero 2019,DIT,Generacion,$/kWh,Energia,Baja California Sur,I,2.686,
enero 2019,DIT,Generacion,$/kWh,Energia,Baja California Sur,P,3.8593,
enero 2019,DIT,Generacion,$/kWh,Energia,Baja California Sur,SP,0,
enero 2019,GDMTH,Generacion,$/kWh,Energia,Bajio,B,0.7558,
enero 2019,GDMTH,Generacion,$/kWh,Energia,Bajio,I,1.4748,
enero 2019,GDMTH,Generacion,$/kWh,Energia,Bajio,P,1.7041,
enero 2019,DIST,Generacion,$/kWh,Energia,Bajio,B,0.7911,
enero 2019,DIST,Generacion,$/kWh,Energia,Bajio,I,1.4017,
enero 2019,DIST,Generacion,$/kWh,Energia,Bajio,P,1.6944,
enero 2019,DIST,Generacion,$/kWh,Energia,Bajio,SP,0,
